player_name,sofascore_id,month_matches,interval_start,interval_end,club_at_call,minutes_played_club,avg_score_club,games_club,minutes_played_national_team,avg_score_national_team,games_nt,status
Wendell,335033,March 2024,2023-11-22,2024-03-11,Porto,966,7.49,14,179,6.6,2,OK
Lucas Beraldo,1108441,March 2024,2023-11-22,2024-03-11,PSG,1351,6.99,17,180,6.35,2,OK
Gabriel Magalhães,869792,March 2024,2023-11-22,2024-03-11,Arsenal,1791,7.38,20,0,,0,OK
Bremer,885197,March 2024,2023-11-22,2024-03-11,Juventus,1440,7.17,16,1,,1,OK
Marquinhos,155995,March 2024,2023-11-22,2024-03-11,PSG,947,7.34,12,0,,0,OK
Fabrício Bruno,840220,March 2024,2023-11-22,2024-03-11,Flamengo,1129,7.22,14,180,6.7,2,OK
Murilo,874729,March 2024,2023-11-22,2024-03-11,Palmeiras,1272,7.01,15,0,,0,OK
André,1035996,March 2024,2023-11-22,2024-03-11,Fluminense,1124,6.98,15,45,6.4,1,OK
Andreas Pereira,285949,March 2024,2023-11-22,2024-03-11,Fulham,1475,7.09,21,64,6.65,2,OK
Bruno Guimarães,866469,March 2024,2023-11-22,2024-03-11,Newcastle,1984,7.44,22,124,6.8,2,OK
Casemiro,122951,March 2024,2023-11-22,2024-03-11,Manchester United,702,7.16,9,0,,0,OK
Pepê,882664,March 2024,2023-11-22,2024-03-11,Porto,1497,7.15,21,0,,0,OK
Douglas Luiz,867887,March 2024,2023-11-22,2024-03-11,Aston Villa,1774,7.31,21,30,6.85,2,OK
João Gomes,1015267,March 2024,2023-11-22,2024-03-11,Wolverhampton,1153,6.84,15,135,6.4,2,OK
Lucas Paquetá,839981,March 2024,2023-11-22,2024-03-11,West Ham,1088,7.14,15,161,6.95,2,OK
Pablo Maia,1120721,March 2024,2023-11-22,2024-03-11,São Paulo,1357,6.94,16,1,,1,OK
Endrick,1174937,March 2024,2023-11-22,2024-03-11,Palmeiras,705,7.26,16,64,7.05,2,OK
Gabriel Martinelli,922573,March 2024,2023-11-22,2024-03-11,Arsenal,1248,7.18,18,0,,0,OK
Galeno,845754,March 2024,2023-11-22,2024-03-11,Porto,1191,7.51,22,8,7.1,1,OK
Raphinha,831005,March 2024,2023-11-22,2024-03-11,Barcelona,837,7.5,15,123,6.55,2,OK
Richarlison,840217,March 2024,2023-11-22,2024-03-11,Tottenham,993,7.18,14,0,,0,OK
Rodrygo,910536,March 2024,2023-11-22,2024-03-11,Real Madrid,1640,7.3,23,153,7.4,2,OK
Savinho,1046795,March 2024,2023-11-22,2024-03-11,Girona,1439,7.22,18,12,6.5,1,OK
Vinícius Júnior,868812,March 2024,2023-11-22,2024-03-11,Real Madrid,1237,7.45,14,160,6.4,2,OK
Alisson,243609,June 2024,2024-03-27,2024-05-10,Liverpool,540,7.25,6,90,6.4,1,OK
Bento,1016104,June 2024,2024-03-27,2024-05-10,Athletico-PR,990,7.22,11,0,,0,OK
Ederson,254491,June 2024,2024-03-27,2024-05-10,Manchester City,435,7.14,5,0,,0,OK
Rafael,33132,June 2024,2024-03-27,2024-05-10,São Paulo,810,6.83,9,0,,0,OK
Danilo,1064039,June 2024,2024-03-27,2024-05-10,Juventus,504,7.3,6,0,,0,OK
Yan Couto,1002813,June 2024,2024-03-27,2024-05-10,Girona,392,6.72,6,90,7.5,1,OK
Guilherme Arana,1127439,June 2024,2024-03-27,2024-05-10,Atlético-MG,986,7.54,12,90,6.2,1,OK
Wendell,335033,June 2024,2024-03-27,2024-05-10,Porto,621,7.07,7,0,,0,OK
Lucas Beraldo,1108441,June 2024,2024-03-27,2024-05-10,PSG,448,6.85,6,0,,0,OK
Bremer,885197,June 2024,2024-03-27,2024-05-10,Juventus,720,7.2,8,90,6.9,1,OK
Éder Militão,822519,June 2024,2024-03-27,2024-05-10,Real Madrid,209,6.97,7,90,7,1,OK
Gabriel Magalhães,869792,June 2024,2024-03-27,2024-05-10,Arsenal,900,6.91,10,0,,0,OK
Marquinhos,155995,June 2024,2024-03-27,2024-05-10,PSG,589,7.03,8,0,,0,OK
Andreas Pereira,285949,June 2024,2024-03-27,2024-05-10,Fulham,545,7.46,7,61,7.4,1,OK
Bruno Guimarães,866469,June 2024,2024-03-27,2024-05-10,Newcastle,629,7.57,7,16,6.8,1,OK
Douglas Luiz,867887,June 2024,2024-03-27,2024-05-10,Aston Villa,799,6.73,9,74,6.8,1,OK
Éderson,946888,June 2024,2024-03-27,2024-05-10,Atalanta,842,6.83,12,84,6.6,1,OK
João Gomes,1015267,June 2024,2024-03-27,2024-05-10,Wolverhampton,657,6.75,8,15,6.3,1,OK
Lucas Paquetá,839981,June 2024,2024-03-27,2024-05-10,West Ham,706,6.91,8,29,6.5,1,OK
Endrick,1174937,June 2024,2024-03-27,2024-05-10,Palmeiras,837,7.12,12,29,7.2,1,OK
Evanilson,998490,June 2024,2024-03-27,2024-05-10,Porto,422,7.02,5,61,6.7,1,OK
Gabriel Martinelli,922573,June 2024,2024-03-27,2024-05-10,Arsenal,282,6.59,10,61,6.9,1,OK
Pepê,882664,June 2024,2024-03-27,2024-05-10,Porto,680,7.39,8,29,6.5,1,OK
Raphinha,831005,June 2024,2024-03-27,2024-05-10,Barcelona,417,7.5,7,0,,0,OK
Rodrygo,910536,June 2024,2024-03-27,2024-05-10,Real Madrid,479,7.2,6,0,,0,OK
Savinho,1046795,June 2024,2024-03-27,2024-05-10,Girona,423,7.2,5,74,7.3,1,OK
Vinícius Júnior,868812,June 2024,2024-03-27,2024-05-10,Real Madrid,516,7.3,8,16,7.4,1,OK
Alisson,243609,September 2024,2024-07-06,2024-08-23,Liverpool,90,7.1,1,360,7.2,4,OK
Bento,1016104,September 2024,2024-07-06,2024-08-23,Al-Nassr,360,6.95,4,0,,0,OK
Ederson,254491,September 2024,2024-07-06,2024-08-23,Manchester City,180,7.15,2,0,,0,OK
Danilo,1064039,September 2024,2024-07-06,2024-08-23,Juventus,15,6.3,1,0,,0,OK
Yan Couto,1002813,September 2024,2024-07-06,2024-08-23,Borussia Dortmund,31,7.1,1,0,,0,OK
William,604274,September 2024,2024-07-06,2024-08-23,Cruzeiro,855,7.37,10,0,,0,OK
Guilherme Arana,1127439,September 2024,2024-07-06,2024-08-23,Atlético-MG,778,7.41,9,180,7.35,2,OK
Wendell,335033,September 2024,2024-07-06,2024-08-23,Porto,0,,0,176,6.4,2,OK
Lucas Beraldo,1108441,September 2024,2024-07-06,2024-08-23,PSG,90,7.2,1,0,,0,OK
Éder Militão,822519,September 2024,2024-07-06,2024-08-23,Real Madrid,180,7.25,2,356,7.2,4,OK
Fabrício Bruno,840220,September 2024,2024-07-06,2024-08-23,Flamengo,855,7.04,10,0,,0,OK
Gabriel Magalhães,869792,September 2024,2024-07-06,2024-08-23,Arsenal,168,7.6,2,4,,1,OK
Marquinhos,155995,September 2024,2024-07-06,2024-08-23,PSG,109,7,2,360,7.25,4,OK
André,1035996,September 2024,2024-07-06,2024-08-23,Fluminense,893,7.12,10,0,,0,OK
Bruno Guimarães,866469,September 2024,2024-07-06,2024-08-23,Newcastle,90,7.4,1,335,7.28,4,OK
Gerson,611876,September 2024,2024-07-06,2024-08-23,Flamengo,967,7.08,12,0,,0,OK
João Gomes,1015267,September 2024,2024-07-06,2024-08-23,Wolverhampton,84,6.6,1,327,6.68,4,OK
Lucas Paquetá,839981,September 2024,2024-07-06,2024-08-23,West Ham,74,6.8,1,295,7.4,4,OK
Rodrygo,910536,September 2024,2024-07-06,2024-08-23,Real Madrid,166,7.6,2,329,7,4,OK
Endrick,1174937,September 2024,2024-07-06,2024-08-23,Real Madrid,0,,0,130,6.53,4,OK
Estêvão,1597265,September 2024,2024-07-06,2024-08-23,Palmeiras,500,7.01,7,0,,0,OK
Luiz Henrique,1035995,September 2024,2024-07-06,2024-08-23,Botafogo,887,7.28,12,0,,0,OK
João Pedro,975079,September 2024,2024-07-06,2024-08-23,Brighton,82,7.1,1,0,,0,OK
Pedro,840219,September 2024,2024-07-06,2024-08-23,Flamengo,708,7.23,9,0,,0,OK
Lucas Moura,149710,September 2024,2024-07-06,2024-08-23,São Paulo,882,7.38,11,0,,0,OK
Vinícius Júnior,868812,September 2024,2024-07-06,2024-08-23,Real Madrid,176,7.2,2,251,7.2,3,OK
Bento,1016104,October 2024,2024-09-11,2024-09-27,Al-Nassr,450,6.88,5,0,,0,OK
Ederson,254491,October 2024,2024-09-11,2024-09-27,Manchester City,270,7.13,3,180,7,2,OK
Alisson,243609,October 2024,2024-09-11,2024-09-27,Liverpool,180,6.5,2,0,,0,OK
Weverton,243529,October 2024,2024-09-11,2024-09-27,Palmeiras,180,7.55,2,0,,0,OK
Danilo,1064039,October 2024,2024-09-11,2024-09-27,Juventus,0,,0,0,,0,OK
Vanderson,1090694,October 2024,2024-09-11,2024-09-27,Monaco,176,8.2,2,90,7.3,1,OK
Abner,973838,October 2024,2024-09-11,2024-09-27,Lyon,155,7.55,2,175,6.95,2,OK
Guilherme Arana,1127439,October 2024,2024-09-11,2024-09-27,Atlético-MG,265,6.93,3,0,,0,OK
Alex Telles,312110,October 2024,2024-09-11,2024-09-27,Botafogo,167,6.77,4,0,,0,OK
Bremer,885197,October 2024,2024-09-11,2024-09-27,Juventus,270,7.47,3,0,,0,OK
Lucas Beraldo,1108441,October 2024,2024-09-11,2024-09-27,PSG,264,6.87,4,0,,0,OK
Éder Militão,822519,October 2024,2024-09-11,2024-09-27,Real Madrid,305,7.35,4,0,,0,OK
Fabrício Bruno,840220,October 2024,2024-09-11,2024-09-27,Flamengo,353,7.1,4,0,,0,OK
Gabriel Magalhães,869792,October 2024,2024-09-11,2024-09-27,Arsenal,298,7.4,4,180,7.4,2,OK
Marquinhos,155995,October 2024,2024-09-11,2024-09-27,PSG,249,7.4,3,180,6.9,2,OK
André,1035996,October 2024,2024-09-11,2024-09-27,Wolverhampton,167,7.15,2,56,6.5,2,OK
Bruno Guimarães,866469,October 2024,2024-09-11,2024-09-27,Newcastle,177,6.7,2,124,7.3,2,OK
Gerson,611876,October 2024,2024-09-11,2024-09-27,Flamengo,360,7.7,4,135,7.1,2,OK
Lucas Paquetá,839981,October 2024,2024-09-11,2024-09-27,West Ham,148,6.4,3,45,6.4,1,OK
Rodrygo,910536,October 2024,2024-09-11,2024-09-27,Real Madrid,294,7.78,4,159,7.05,2,OK
Andreas Pereira,285949,October 2024,2024-09-11,2024-09-27,Fulham,153,6.95,2,21,7,1,OK
Vinícius Júnior,868812,October 2024,2024-09-11,2024-09-27,Real Madrid,304,7.4,4,0,,0,OK
Endrick,1174937,October 2024,2024-09-11,2024-09-27,Real Madrid,42,7.3,4,26,6.4,2,OK
Igor Jesus,981619,October 2024,2024-09-11,2024-09-27,Botafogo,275,7,4,154,7.4,2,OK
Gabriel Martinelli,922573,October 2024,2024-09-11,2024-09-27,Arsenal,276,6.83,4,10,6.5,1,OK
Luiz Henrique,1035995,October 2024,2024-09-11,2024-09-27,Botafogo,296,6.95,4,43,7.9,2,OK
Raphinha,831005,October 2024,2024-09-11,2024-09-27,Barcelona,360,7.35,4,168,7.65,2,OK
Savinho,1046795,October 2024,2024-09-11,2024-09-27,Manchester City,257,7.4,4,137,6.9,2,OK
Weverton,243529,November 2024,2024-10-16,2024-11-01,Palmeiras,180,6.5,2,0,,0,OK
Ederson,254491,November 2024,2024-10-16,2024-11-01,Manchester City,180,6.9,2,180,6.65,2,OK
Bento,1016104,November 2024,2024-10-16,2024-11-01,Al-Nassr,450,6.94,5,0,,0,OK
Danilo,1064039,November 2024,2024-10-16,2024-11-01,Juventus,0,,0,0,,0,OK
Vanderson,1090694,November 2024,2024-10-16,2024-11-01,Monaco,139,6.5,2,90,6.4,1,OK
Abner,973838,November 2024,2024-10-16,2024-11-01,Lyon,90,7.6,1,147,6.45,2,OK
Guilherme Arana,1127439,November 2024,2024-10-16,2024-11-01,Atlético-MG,265,7.03,3,0,,0,OK
Alex Telles,312110,November 2024,2024-10-16,2024-11-01,Botafogo,246,7.1,3,0,,0,OK
Éder Militão,822519,November 2024,2024-10-16,2024-11-01,Real Madrid,270,6.87,3,0,,0,OK
Léo Ortiz,869643,November 2024,2024-10-16,2024-11-01,Flamengo,332,6.7,4,0,,0,OK
Gabriel Magalhães,869792,November 2024,2024-10-16,2024-11-01,Arsenal,234,6.97,3,180,7.75,2,OK
Marquinhos,155995,November 2024,2024-10-16,2024-11-01,PSG,180,7.35,2,180,7.25,2,OK
Murillo,1199282,November 2024,2024-10-16,2024-11-01,Nottingham Forest,180,7.5,2,0,,0,OK
André,1035996,November 2024,2024-10-16,2024-11-01,Wolverhampton,46,6.8,2,9,6.5,1,OK
Andreas Pereira,285949,November 2024,2024-10-16,2024-11-01,Fulham,147,6.45,2,0,,0,OK
Bruno Guimarães,866469,November 2024,2024-10-16,2024-11-01,Newcastle,202,7.07,3,168,6.7,2,OK
Gerson,611876,November 2024,2024-10-16,2024-11-01,Flamengo,270,7.67,3,176,7.15,2,OK
Lucas Paquetá,839981,November 2024,2024-10-16,2024-11-01,West Ham,106,6.4,2,31,6.8,2,OK
Raphinha,831005,November 2024,2024-10-16,2024-11-01,Barcelona,232,8.77,3,180,7.25,2,OK
Estêvão,1597265,November 2024,2024-10-16,2024-11-01,Palmeiras,177,7.4,2,18,6.2,2,OK
Igor Jesus,981619,November 2024,2024-10-16,2024-11-01,Botafogo,241,7.57,3,126,6.7,2,OK
Luiz Henrique,1035995,November 2024,2024-10-16,2024-11-01,Botafogo,250,7.83,3,54,6.6,2,OK
Rodrygo,910536,November 2024,2024-10-16,2024-11-01,Real Madrid,112,6.6,2,0,,0,OK
Gabriel Martinelli,922573,November 2024,2024-10-16,2024-11-01,Arsenal,263,7.03,4,40,6.6,2,OK
Savinho,1046795,November 2024,2024-10-16,2024-11-01,Manchester City,316,7.92,4,141,7.2,2,OK
