player_name,birth_date,player_id,sofascore_id,sofascore_url,transfermarkt_id,transfermarkt_url,market_value_eur,nationality,status,,,,
Alex Sandro,1991-01-26,AlexSandro1991,84854,https://www.sofascore.com/pt/football/player/alex-sandro/84854,79960,https://www.transfermarkt.com.br/alex-sandro/profil/spieler/79960,€ 1.50 mi.,Brasil,OK,,Alex Sandro,84854,https://www.sofascore.com/pt/football/player/alex-sandro/84854
Carlos Augusto,1999-01-07,CarlosAugusto1999,929199,https://www.sofascore.com/pt/football/player/carlos-augusto/929199,585982,https://www.transfermarkt.com.br/carlos-augusto/profil/spieler/585982,€ 26.00 mi.,Brasil,OK,,Carlos Augusto,929199,https://www.sofascore.com/pt/football/player/carlos-augusto/929199
Yan Couto,2002-06-03,YanCouto2002,1002813,https://www.sofascore.com/pt/football/player/yan-couto/1002813,627228,https://www.transfermarkt.com.br/yan-couto/profil/spieler/627228,€ 20.00 mi.,Brasil,OK,,Yan Couto,1002813,https://www.sofascore.com/pt/football/player/yan-couto/1002813
João Gomes,2001-02-12,JoãoGomes2001,1015267,https://www.sofascore.com/pt/football/player/joao-gomes/1015267,735570,https://www.transfermarkt.com.br/joao-gomes/profil/spieler/735570,€ 35.00 mi.,Brasil,OK,,João Gomes,1015267,https://www.sofascore.com/pt/football/player/joao-gomes/1015267
Lucas Perri,1997-12-10,LucasPerri1997,871290,https://www.sofascore.com/pt/football/player/lucas-perri/871290,352041,https://www.transfermarkt.com.br/lucas-perri/profil/spieler/352041,€ 13.00 mi.,Brasil,OK,,Lucas Perri,871290,https://www.sofascore.com/pt/football/player/lucas-perri/871290
Weverton,1987-12-13,Weverton1987,243529,https://www.sofascore.com/pt/football/player/weverton/243529,69400,https://www.transfermarkt.com.br/weverton/profil/spieler/69400,€ 700 mil,Brasil,OK,,Weverton,243529,https://www.sofascore.com/pt/football/player/weverton/243529
Raphael Veiga,1995-06-19,RaphaelVeiga1995,840020,https://www.sofascore.com/pt/football/player/raphael-veiga/840020,432953,https://www.transfermarkt.com.br/raphael-veiga/profil/spieler/432953,€ 10.00 mi.,Brasil,OK,,Raphael Veiga,840020,https://www.sofascore.com/pt/football/player/raphael-veiga/840020
Renan Lodi,1998-04-08,RenanLodi1998,851150,https://www.sofascore.com/pt/football/player/renan-lodi/851150,476352,https://www.transfermarkt.com.br/renan-lodi/profil/spieler/476352,€ 12.00 mi.,Brasil,OK,,Renan Lodi,851150,https://www.sofascore.com/pt/football/player/renan-lodi/851150
Gabriel Jesus,1997-04-03,GabrielJesus1997,794839,https://www.sofascore.com/pt/football/player/gabriel-jesus/794839,363205,https://www.transfermarkt.com.br/gabriel-jesus/profil/spieler/363205,€ 20.00 mi.,Brasil,OK,,Gabriel Jesus,794839,https://www.sofascore.com/pt/football/player/gabriel-jesus/794839
Douglas Luiz,1998-05-09,DouglasLuiz1998,867887,https://www.sofascore.com/pt/football/player/douglas-luiz/867887,447661,https://www.transfermarkt.com.br/douglas-luiz/profil/spieler/447661,€ 20.00 mi.,Brasil,OK,,Douglas Luiz,867887,https://www.sofascore.com/pt/football/player/douglas-luiz/867887
Douglas Santos,1994-03-22,DouglasSantos1994,243583,https://www.sofascore.com/pt/football/player/douglas-santos/243583,220793,https://www.transfermarkt.com.br/douglas-santos/profil/spieler/220793,€ 8.00 mi.,Brasil,OK,,Douglas Santos,243583,https://www.sofascore.com/pt/football/player/douglas-santos/243583
Alex Telles,1992-12-15,AlexTelles1992,312110,https://www.sofascore.com/pt/football/player/alex-telles/312110,255755,https://www.transfermarkt.com.br/alex-telles/profil/spieler/255755,€ 3.00 mi.,Brasil,OK,,Alex Telles,312110,https://www.sofascore.com/pt/football/player/alex-telles/312110
Wendell,1993-07-20,Wendell1993,335033,https://www.sofascore.com/pt/football/player/wendell/335033,228433,https://www.transfermarkt.com.br/wendell/profil/spieler/228433,€ 2.00 mi.,Brasil,OK,,Wendell,335033,https://www.sofascore.com/pt/football/player/wendell/335033
Neymar,1992-02-05,Neymar1992,124712,https://www.sofascore.com/pt/football/player/neymar/124712,68290,https://www.transfermarkt.com.br/neymar/profil/spieler/68290,€ 10.00 mi.,Brasil,OK,,Neymar,124712,https://www.sofascore.com/pt/football/player/neymar/124712
Pepê,1997-02-24,Pepê1997,882664,https://www.sofascore.com/pt/football/player/pepe/882664,520662,https://www.transfermarkt.com.br/pepe/profil/spieler/520662,€ 20.00 mi.,Brasil,OK,,Pepê,882664,https://www.sofascore.com/pt/football/player/pepe/882664
Léo Ortiz,1996-01-03,LéoOrtiz1996,869643,https://www.sofascore.com/pt/football/player/leo-ortiz/869643,374136,https://www.transfermarkt.com.br/leo-ortiz/profil/spieler/374136,€ 14.00 mi.,Brasil,OK,,Léo Ortiz,869643,https://www.sofascore.com/pt/football/player/leo-ortiz/869643
Igor Jesus,2001-02-25,IgorJesus2001,981619,https://www.sofascore.com/pt/football/player/igor-jesus/981619,432164,https://www.transfermarkt.com.br/igor-jesus/profil/spieler/432164,€ 22.00 mi.,Brasil,OK,,Igor Jesus,981619,https://www.sofascore.com/pt/football/player/igor-jesus/981619
Ibañez,1998-11-23,Ibañez1998,888949,https://www.sofascore.com/pt/football/player/roger-ibanez/888949,524481,https://www.transfermarkt.com.br/roger-ibanez/profil/spieler/524481,€ 17.00 mi.,Brasil,OK,,Ibañez,888949,https://www.sofascore.com/pt/football/player/roger-ibanez/888949
Alexsandro Ribeiro,1999-08-09,AlexsandroRibeiro1999,1049775,https://www.sofascore.com/pt/football/player/alexsandro-ribeiro/1049775,648020,https://www.transfermarkt.com.br/alexsandro/profil/spieler/648020,€ 18.00 mi.,Brasil,OK,,Alexsandro Ribeiro,1049775,https://www.sofascore.com/pt/football/player/alexsandro-ribeiro/1049775
John,1996-02-13,John1996,840103,https://www.sofascore.com/pt/football/player/john-victor/840103,470607,https://www.transfermarkt.com.br/john-victor/profil/spieler/432914,€ 7.00 mi.,Brasil,OK,,John,840103,https://www.sofascore.com/pt/football/player/john-victor/840103
Paulo Henrique,1996-07-25,PauloHenrique1996,1021721,https://www.sofascore.com/pt/football/player/paulo-henrique/1021721,412594,https://www.transfermarkt.com.br/paulo-henrique/profil/spieler/412594,€ 6.00 mi.,Brasil,OK,,Paulo Henrique,1021721,https://www.sofascore.com/pt/football/player/paulo-henrique/1021721
Ayrton Lucas,1997-06-19,AyrtonLucas1997,818473,https://www.sofascore.com/pt/football/player/ayrton-lucas/818473,349585,https://www.transfermarkt.com.br/ayrton-lucas/profil/spieler/349585,€ 4.00 mi.,Brasil,OK,,Ayrton Lucas,818473,https://www.sofascore.com/pt/football/player/ayrton-lucas/818473
Antony,2000-02-24,Antony2000,958380,https://www.sofascore.com/pt/football/player/antony/958380,602105,https://www.transfermarkt.com.br/antony/profil/spieler/602105,€ 40.00 mi.,Brasil,OK,,Antony,958380,https://www.sofascore.com/pt/football/player/antony/958380
Abner,2000-05-27,Abner2000,973838,https://www.sofascore.com/pt/football/player/abner-vinicius/973838,646402,https://www.transfermarkt.com.br/abner/profil/spieler/646402,€ 10.00 mi.,Brasil,OK,,Abner,973838,https://www.sofascore.com/pt/football/player/abner-vinicius/973838
Éderson,1999-07-07,Éderson1999,946888,https://www.sofascore.com/pt/football/player/ederson/946888,607854,https://www.transfermarkt.com.br/ederson/profil/spieler/607854,€ 40.00 mi.,Brasil,OK,,Éderson,946888,https://www.sofascore.com/pt/football/player/ederson/946888
Murillo,2002-07-04,Murillo2002,1199282,https://www.sofascore.com/pt/football/player/murillo/1199282,1005649,https://www.transfermarkt.com.br/murillo/profil/spieler/1005649,€ 50.00 mi.,Brasil,OK,,Murillo,1199282,https://www.sofascore.com/pt/football/player/murillo/1199282
Vitinho,1999-07-23,Vitinho1999,914477,https://www.sofascore.com/pt/football/player/vitinho/914477,468249,https://www.transfermarkt.com.br/vitinho/profil/spieler/468249,€ 8.00 mi.,Brasil,OK,,Vitinho,914477,https://www.sofascore.com/pt/football/player/vitinho/914477
Rafael,1989-06-23,Rafael1989,33132,https://www.sofascore.com/pt/football/player/rafael/33132,68097,https://www.transfermarkt.com.br/rafael/profil/spieler/68097,€ 400 m,Brasil,OK,,Rafael,33132,https://www.sofascore.com/pt/football/player/rafael/33132
Fabinho,1993-10-23,Fabinho1993,243585,https://www.sofascore.com/pt/football/player/fabinho/243585,225693,https://www.transfermarkt.com.br/fabinho/profil/spieler/225693,€ 13.00 mi.,Brasil,OK,,Fabinho,243585,https://www.sofascore.com/pt/football/player/fabinho/243585
Pedro,1997-06-20,Pedro1997,840219,https://www.sofascore.com/pt/football/player/pedro/840219,432895,https://www.transfermarkt.com.br/pedro/profil/spieler/432895,€ 17.00 mi.,Brasil,OK,,Pedro,840219,https://www.sofascore.com/pt/football/player/pedro/840219
David Neres,1997-03-03,DavidNeres1997,850993,https://www.sofascore.com/pt/football/player/david-neres/850993,469822,https://www.transfermarkt.com.br/david-neres/profil/spieler/469822,€ 28.00 mi.,Brasil,OK,,David Neres,850993,https://www.sofascore.com/pt/football/player/david-neres/850993
Emerson Royal,1999-01-14,EmersonRoyal1999,856123,https://www.sofascore.com/pt/football/player/emerson-royal/856123,476344,https://www.transfermarkt.com.br/emerson-royal/profil/spieler/476344,€ 7.00 mi.,Brasil,OK,,Emerson Royal,856123,https://www.sofascore.com/pt/football/player/emerson-royal/856123
Evanilson,1999-10-06,Evanilson1999,998490,https://www.sofascore.com/pt/football/player/evanilson/998490,711337,https://www.transfermarkt.com.br/evanilson/profil/spieler/711337,€ 35.00 mi.,Brasil,OK,,Evanilson,998490,https://www.sofascore.com/pt/football/player/evanilson/998490
Gabriel Sara,1999-06-26,GabrielSara1999,913593,https://www.sofascore.com/pt/football/player/gabriel-sara/913593,553469,https://www.transfermarkt.com.br/gabriel-sara/profil/spieler/553469,€ 22.00 mi.,Brasil,OK,,Gabriel Sara,913593,https://www.sofascore.com/pt/football/player/gabriel-sara/913593
Galeno,1997-10-22,Galeno1997,845754,https://www.sofascore.com/pt/football/player/wenderson-galeno/845754,454121,https://www.transfermarkt.com.br/galeno/profil/spieler/454121,€ 22.00 mi.,Brasil,OK,,Galeno,845754,https://www.sofascore.com/pt/football/player/wenderson-galeno/845754
Léo Jardim,1995-03-20,LéoJardim1995,595598,https://www.sofascore.com/pt/football/player/leo-jardim/595598,288415,https://www.transfermarkt.com.br/leo-jardim/profil/spieler/288415,€ 7.00 mi.,Brasil,OK,,Léo Jardim,595598,https://www.sofascore.com/pt/football/player/leo-jardim/595598
Luciano Juba,1999-08-29,LucianoJuba1999,1017264,https://www.sofascore.com/pt/football/player/luciano-juba/1017264,676035,https://www.transfermarkt.com.br/luciano-juba/profil/spieler/676035,€ 11.00 mi.,Brasil,OK,,Luciano Juba,1017264,https://www.sofascore.com/pt/football/player/luciano-juba/1017264
Lucas Moura,1992-08-13,LucasMoura1992,149710,https://www.sofascore.com/pt/football/player/lucas-moura/149710,77100,https://www.transfermarkt.com.br/lucas-moura/profil/spieler/77100,€ 2.50 mi.,Brasil,OK,,Lucas Moura,149710,https://www.sofascore.com/pt/football/player/lucas-moura/149710
Leo Pereira,1996-01-31,LeoPereira1996,358548,https://www.sofascore.com/pt/football/player/leo-pereira/358548,288431,https://www.transfermarkt.com.br/leo-pereira/profil/spieler/288431,€ 10.00 mi.,Brasil,OK,,Leo Pereira,358548,https://www.sofascore.com/pt/football/player/leo-pereira/358548
Jean Lucas,1998-06-22,JeanLucas1998,927975,https://www.sofascore.com/pt/football/player/jean-lucas/927975,578872,https://www.transfermarkt.com.br/jean-lucas/profil/spieler/578872,€ 12.00 mi.,Brasil,OK,,Jean Lucas,927975,https://www.sofascore.com/pt/football/player/jean-lucas/927975
Kaiki,2003-03-08,Kaiki2003,1112484,https://www.sofascore.com/pt/football/player/kaiki/1112484,879217,https://www.transfermarkt.com.br/kaiki/profil/spieler/879217,€ 12.00 mi.,Brasil,OK,,Kaiki,1112484,https://www.sofascore.com/pt/football/player/kaiki/1112484
Kaio Jorge,2002-01-24,KaioJorge2002,954888,https://www.sofascore.com/pt/football/player/kaio-jorge/954888,620477,https://www.transfermarkt.com.br/kaio-jorge/profil/spieler/620477,€ 26.00 mi.,Brasil,OK,,Kaio Jorge,954888,https://www.sofascore.com/pt/football/player/kaio-jorge/954888
Igor Thiago,2001-06-26,IgorThiago2001,1016907,https://www.sofascore.com/pt/football/player/igor-thiago/1016907,739443,https://www.transfermarkt.com.br/igor-thiago/profil/spieler/739443,€ 50.00 mi.,Brasil,OK,,Igor Thiago,1016907,https://www.sofascore.com/pt/football/player/igor-thiago/1016907
Rayan,2006-08-03,Rayan2006,1464966,https://www.sofascore.com/pt/football/player/rayan/1464966,1012564,https://www.transfermarkt.com.br/rayan/profil/spieler/1012564,€ 40.00 mi.,Brasil,OK,,Rayan,1464966,https://www.sofascore.com/pt/football/player/rayan/1464966
Paulinho,2000-07-15,Paulinho2000,885179,https://www.sofascore.com/pt/football/player/paulinho/885179,57229,https://www.transfermarkt.com.br/paulinho/profil/spieler/428791,€ 11.00 mi.,Brasil,OK,,Paulinho,885179,https://www.sofascore.com/pt/football/player/paulinho/885179
Murilo,1997-03-27,Murilo1997,874729,https://www.sofascore.com/pt/football/player/murilo/874729,458710,https://www.transfermarkt.com.br/murilo/profil/spieler/458710,€ 5.00 mi.,Brasil,OK,,Murilo,874729,https://www.sofascore.com/pt/football/player/murilo/874729
Pablo Maia,2002-01-10,PabloMaia2002,1120721,https://www.sofascore.com/pt/football/player/pablo-maia/1120721,892089,https://www.transfermarkt.com.br/pablo-maia/profil/spieler/892089,€ 6.00 mi.,Brasil,OK,,Pablo Maia,1120721,https://www.sofascore.com/pt/football/player/pablo-maia/1120721
Malcom,1997-02-26,Malcom1997,551772,https://www.sofascore.com/pt/football/player/malcom/551772,323704,https://www.transfermarkt.com.br/malcom/profil/spieler/323704,€ 20.00 mi.,Brasil,OK,,Malcom,551772,https://www.sofascore.com/pt/football/player/malcom/551772
Rony,1995-05-11,Rony1995,835260,https://www.sofascore.com/pt/football/player/rony/835260,371009,https://www.transfermarkt.com.br/rony/profil/spieler/371009,€ 5.00 mi.,Brasil,OK,,Rony,835260,https://www.sofascore.com/pt/football/player/rony/835260
Vitor Roque,2005-02-28,VitorRoque2005,1150391,https://www.sofascore.com/pt/football/player/vitor-roque/1150391,943837,https://www.transfermarkt.com.br/vitor-roque/profil/spieler/943837,€ 38.00 mi.,Brasil,OK,,Vitor Roque,1150391,https://www.sofascore.com/pt/football/player/vitor-roque/1150391
William,1995-04-03,William1995,604274,https://www.sofascore.com/pt/football/player/william-furtado/604274,495666,https://www.transfermarkt.com.br/william/profil/spieler/341710,€ 4.00 mi.,Brasil,OK,,William,604274,https://www.sofascore.com/pt/football/player/william-furtado/604274
Samuel Lino,1999-12-23,SamuelLino1999,874705,https://www.sofascore.com/pt/football/player/samuel-lino/874705,694928,https://www.transfermarkt.com.br/samuel-lino/profil/spieler/694928,€ 17.00 mi.,Brasil,OK,,Samuel Lino,874705,https://www.sofascore.com/pt/football/player/samuel-lino/874705
Arthur,2003-03-17,Arthur2003,1174761,https://www.sofascore.com/pt/football/player/arthur/1174761,977464,https://www.transfermarkt.com.br/arthur/profil/spieler/977464,€ 7.00 mi.,Brasil,OK,,Arthur,1174761,https://www.sofascore.com/pt/football/player/arthur/1174761
Mycael,2004-03-12,Mycael2004,1128850,https://www.sofascore.com/pt/football/player/mycael/1128850,743586,https://www.transfermarkt.com.br/mycael/profil/spieler/743586,€ 2.50 mi.,Brasil,OK,,Mycael,1128850,https://www.sofascore.com/pt/football/player/mycael/1128850
Robert Renan,2003-10-11,RobertRenan2003,1191278,https://www.sofascore.com/pt/football/player/robert-renan/1191278,958598,https://www.transfermarkt.com.br/robert-renan/profil/spieler/958598,€ 10.00 mi.,Brasil,OK,,Robert Renan,1191278,https://www.sofascore.com/pt/football/player/robert-renan/1191278
