date_call_up,month_matches,matches,num_matches,competition,national_team,coach,player_name,birth_date,player_id,player_main_position,player_first_alternative_position,player_second_alternative_position,club,minutes_played_club,minutes_played_national_team,avg_score_club,avg_score_national_team,league_tier,games_starting_xi,starter_rate,original_call_up_list,out_injury,out_personal_reason,replacement,is_currently_injured,estimated_recovery_days
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Antony,,,Forward,,,Manchester United,,,,,,0,0,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Vitor Roque,,,Forward,,,Athletico-PR,,,,,,0,0,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Richarlison,,,Forward,,,Tottenham,,,,,,0,0,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Rodrygo,,,Forward,,,Real Madrid,,,,,,1,1,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Rony,,,Forward,,,Palmeiras,,,,,,1,1,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Vinícius Júnior,,,Forward,,,Real Madrid,,,,,,1,1,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Alisson,,,Goalkeeper,,,Liverpool,,,,,,0,0,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Ederson,,,Goalkeeper,,,Manchester City,,,,,,2,1,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Weverton,,,Goalkeeper,,,Palmeiras,,,,,,0,0,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Danilo,,,Full-back,Centre-back,,Juventus,,,,,,2,1,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Vanderson,,,Full-back,,,Monaco,,,,,,0,0,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Alex Telles,,,Full-back,,,Sevilla,,,,,,0,0,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Ayrton Lucas,,,Full-back,,,Flamengo,,,,,,2,1,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Ibañez,,,Centre-back,,,Roma,,,,,,0,0,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Éder Militão,,,Centre-back,Full-back,,Real Madrid,,,,,,2,1,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Marquinhos,,,Centre-back,,,PSG,,,,,,2,1,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Nino,,,Centre-back,,,Fluminense,,,,,,0,0,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,André,,,Midfielder,,,Fluminense,,,,,,0,0,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Bruno Guimarães,,,Midfielder,,,Newcastle,,,,,,1,0.5,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Casemiro,,,Midfielder,,,Manchester United,,,,,,1,0.5,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Joelinton,,,Midfielder,,,Newcastle,,,,,,2,1,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Lucas Paquetá,,,Midfielder,,,West Ham,,,,,,2,1,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Raphael Veiga,,,Midfielder,,,Palmeiras,,,,,,0,0,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Malcom,,,Forward,,,Zenit,,,,,,1,0.5,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Pedro,,,Forward,,,Flamengo,,,,,,0,0,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Richarlison,,,Forward,,,Tottenham,,,,,,2,1,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Rodrygo,,,Forward,,,Real Madrid,,,,,,2,1,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Rony,,,Forward,,,Palmeiras,,,,,,0,0,x,,,,,
5/28/2023,June 2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Vinícius Júnior,,,Forward,,,Real Madrid,,,,,,1,0.5,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Alisson,,,Goalkeeper,,,Liverpool,,,,,,0,0,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Bento,,,Goalkeeper,,,Athletico-PR,,,,,,0,0,x,x,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Lucas Perri,,,Goalkeeper,,,Botafogo,,,,,,0,0,,,,x,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Ederson,,,Goalkeeper,,,Manchester City,,,,,,2,1,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Danilo,,,Full-back,Centre-back,,Juventus,,,,,,2,1,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Vanderson,,,Full-back,,,Monaco,,,,,,0,0,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Caio Henrique,,,Full-back,,,Monaco,,,,,,0,0,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Renan Lodi,,,Full-back,,,Olympique de Marselha,,,,,,2,1,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Ibañez,,,Centre-back,,,Al-Ahli,,,,,,0,0,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Gabriel Magalhães,,,Centre-back,,,Arsenal,,,,,,2,1,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Marquinhos,,,Centre-back,,,PSG,,,,,,2,1,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Nino,,,Centre-back,,,Fluminense,,,,,,0,0,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,André,,,Midfielder,,,Fluminense,,,,,,0,0,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Bruno Guimarães,,,Midfielder,,,Newcastle,,,,,,2,1,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Casemiro,,,Midfielder,,,Manchester United,,,,,,2,1,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Joelinton,,,Midfielder,,,Newcastle,,,,,,0,0,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Raphael Veiga,,,Midfielder,,,Palmeiras,,,,,,0,0,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Antony,,,Forward,,,Manchester United,,,,,,0,0,x,,x,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Gabriel Jesus,,,Forward,,,Arsenal,,,,,,0,0,,,,x,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Gabriel Martinelli,,,Forward,,,Arsenal,,,,,,0,0,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Matheus Cunha,,,Forward,Midfielder,,Wolverhampton,,,,,,0,0,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Neymar,,,Forward,Midfielder,,Al-Hilal,,,,,,2,1,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Richarlison,,,Forward,,,Tottenham,,,,,,2,1,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Rodrygo,,,Forward,,,Real Madrid,,,,,,2,1,x,,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Vinícius Júnior,,,Forward,,,Real Madrid,,,,,,0,0,x,x,,,,
8/18/2023,September 2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Raphinha,,,Forward,,,Barcelona,,,,,,2,1,,,,x,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Alisson,,,Goalkeeper,,,Liverpool,,,,,,0,0,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Ederson,,,Goalkeeper,,,Manchester City,,,,,,2,1,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Lucas Perri,,,Goalkeeper,,,Botafogo,,,,,,0,0,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Danilo,,,Full-back,Centre-back,,Juventus,,,,,,1,0.5,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Vanderson,,,Full-back,,,Monaco,,,,,,0,0,x,x,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Yan Couto,,,Full-back,,,Girona,,,,,,1,0.5,,,,x,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Caio Henrique,,,Full-back,,,Monaco,,,,,,0,0,x,x,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Guilherme Arana,,,Full-back,,,Atlético-MG,,,,,,1,0.5,,,,x,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Renan Lodi,,,Full-back,,,Olympique de Marselha,,,,,,0,0,x,x,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Carlos Augusto,,,Full-back,,,Inter de Milão,,,,,,1,0.5,,,,x,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Bremer,,,Centre-back,,,Juventus,,,,,,0,0,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Marquinhos,,,Centre-back,,,PSG,,,,,,2,1,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Gabriel Magalhães,,,Centre-back,,,Arsenal,,,,,,2,1,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Nino,,,Centre-back,,,Fluminense,,,,,,0,0,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,André,,,Midfielder,,,Fluminense,,,,,,0,0,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Casemiro,,,Midfielder,,,Manchester United,,,,,,2,1,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Bruno Guimarães,,,Midfielder,,,Newcastle,,,,,,2,1,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Gerson,,,Midfielder,,,Flamengo,,,,,,0,0,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Raphael Veiga,,,Midfielder,,,Palmeiras,,,,,,0,0,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Neymar,,,Forward,Midfielder,,Al-Hilal,,,,,,2,1,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Rodrygo,,,Forward,Midfielder,,Real Madrid,,,,,,2,1,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Vinícius Júnior,,,Forward,,,Real Madrid,,,,,,2,1,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Gabriel Jesus,,,Forward,,,Arsenal,,,,,,1,0.5,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Richarlison,,,Forward,,,Tottenham,,,,,,1,0.5,x,,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Raphinha,,,Forward,,,Barcelona,,,,,,0,0,x,x,,,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,David Neres,,,Forward,,,Benfica,,,,,,0,0,,,,x,,
9/23/2023,October 2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Matheus Cunha,,,Forward,Midfielder,,Wolverhampton,,,,,,0,0,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Alisson,,,Goalkeeper,,,Liverpool,,,,,,2,1,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Ederson,,,Goalkeeper,,,Manchester City,,,,,,0,0,x,x,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Bento,,,Goalkeeper,,,Athletico-PR,,,,,,0,0,,,,x,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Lucas Perri,,,Goalkeeper,,,Botafogo,,,,,,0,0,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Emerson Royal,,,Full-back,,,Tottenham,,,,,,2,1,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Carlos Augusto,,,Full-back,,,Inter de Milão,,,,,,1,0.5,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Renan Lodi,,,Full-back,,,Olympique de Marselha,,,,,,1,0.5,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Bremer,,,Centre-back,,,Juventus,,,,,,0,0,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Gabriel Magalhães,,,Centre-back,,,Arsenal,,,,,,2,1,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Nino,,,Centre-back,,,Fluminense,,,,,,0,0,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Marquinhos,,,Centre-back,,,PSG,,,,,,2,1,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,André,,,Midfielder,,,Fluminense,,,,,,2,1,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Bruno Guimarães,,,Midfielder,,,Newcastle,,,,,,2,1,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Douglas Luiz,,,Midfielder,,,Aston Villa,,,,,,0,0,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Joelinton,,,Midfielder,,,Newcastle,,,,,,0,0,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Raphael Veiga,,,Midfielder,,,Palmeiras,,,,,,0,0,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Rodrygo,,,Midfielder,Forward,,Real Madrid,,,,,,2,1,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Endrick,,,Forward,,,Palmeiras,,,,,,0,0,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Gabriel Jesus,,,Forward,,,Arsenal,,,,,,1,0.5,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Gabriel Martinelli,,,Forward,,,Arsenal,,,,,,2,1,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,João Pedro,,,Forward,,,Brighton,,,,,,0,0,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Paulinho,,,Forward,,,Atlético-MG,,,,,,0,0,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Pepê,,,Forward,Midfielder,Full-back,Porto,,,,,,0,0,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Raphinha,,,Forward,,,Barcelona,,,,,,2,1,x,,,,,
11/6/2023,November 2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Vinícius Júnior,,,Forward,,,Real Madrid,,,,,,1,0.5,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Bento,,,Goalkeeper,,,Athletico-PR,,,,,,2,1,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Ederson,,,Goalkeeper,,,Manchester City,,,,,,0,0,x,x,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Léo Jardim,,,Goalkeeper,,,Vasco da Gama,,,,,,0,0,,,,x,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Rafael,,,Goalkeeper,,,São Paulo,,,,,,0,0,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Danilo,,,Full-back,Centre-back,,Juventus,,,,,,2,1,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Yan Couto,,,Full-back,,,Girona,,,,,,0,0,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Ayrton Lucas,,,Full-back,,,Flamengo,,,,,,0,0,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Wendell,,,Full-back,,,Porto,,,,,,2,1,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Lucas Beraldo,,,Centre-back,,,PSG,,,,,,2,1,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Gabriel Magalhães,,,Centre-back,,,Arsenal,,,,,,0,0,x,x,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Bremer,,,Centre-back,,,Juventus,,,,,,0,0,,,,x,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Marquinhos,,,Centre-back,,,PSG,,,,,,0,0,x,x,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Fabrício Bruno,,,Centre-back,,,Flamengo,,,,,,2,1,,,,x,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Murilo,,,Centre-back,,,Palmeiras,,,,,,0,0,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,André,,,Midfielder,,,Fluminense,,,,,,0,0,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Andreas Pereira,,,Midfielder,,,Fulham,,,,,,0,0,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Bruno Guimarães,,,Midfielder,,,Newcastle,,,,,,2,1,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Casemiro,,,Midfielder,,,Manchester United,,,,,,0,0,x,x,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Pepê,,,Forward,Midfielder,Full-back,Porto,,,,,,0,0,,,,x,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Douglas Luiz,,,Midfielder,,,Aston Villa,,,,,,0,0,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,João Gomes,,,Midfielder,,,Wolverhampton,,,,,,2,1,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Lucas Paquetá,,,Midfielder,,,West Ham,,,,,,2,1,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Pablo Maia,,,Midfielder,,,São Paulo,,,,,,0,0,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Endrick,,,Forward,,,Palmeiras,,,,,,0,0,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Gabriel Martinelli,,,Forward,,,Arsenal,,,,,,0,0,x,x,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Galeno,,,Forward,,,Porto,,,,,,0,0,,,,x,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Raphinha,,,Forward,,,Barcelona,,,,,,2,1,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Richarlison,,,Forward,,,Tottenham,,,,,,0,0,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Rodrygo,,,Forward,,,Real Madrid,,,,,,2,1,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Savinho,,,Forward,,,Girona,,,,,,0,0,x,,,,,
3/11/2024,March 2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Vinícius Júnior,,,Forward,,,Real Madrid,,,,,,2,1,x,,,,,
