date_call_up,month_matches,matches,num_matches,competition,national_team,coach,player_name,birth_date,player_id,player_main_position,player_first_alternative_position,player_second_alternative_position,club,minutes_played_club,minutes_played_national_team,avg_score_club,avg_score_national_team,league_tier,games_starting_xi,starter_rate,original_call_up_list,out_injury,out_personal_reason,replacement,is_currently_injured,estimated_recovery_days,sofascore_id,games_club,games_nt
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Ayrton Lucas,19/06/1997,AyrtonLucas1997,Full-back,,,Flamengo,1334,164,684,64,,2,10,x,,,,,,818473,17,2
3/11/2024,01/03/2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Bremer,18/03/1997,Bremer1997,Centre-back,,,Juventus,1440,1,717,,,0,0,,,,x,,,885197,16,1
5/10/2024,01/06/2024,MEX x BRA (friendly) / EUA x BRA (friendly) / BRA x CRC / PAR x BRA / BRA x COL / URU x BRA,6,continental tournament,Brazil,Dorival Júnior,Bremer,18/03/1997,Bremer1997,Centre-back,,,Juventus,720,90,72,69,,1,17,x,,,,,,885197,8,1
9/27/2024,01/10/2024,CHI x BRA / BRA x PER,2,world cup qualifiers,Brazil,Dorival Júnior,Bremer,18/03/1997,Bremer1997,Centre-back,,,Juventus,270,0,747,,,0,0,x,x,,,,,885197,3,0
3/16/2026,01/03/2026,BRA x FRA / BRA x CRO,2,friendly,Brazil,Carlo Ancelotti,Bremer,18/03/1997,Bremer1997,Centre-back,,,Juventus,1413,90,697,69,2,1,5,x,,,,,,885197,18,1
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,André,16/07/2001,André2001,Midfielder,,,Fluminense,1365,16,712,65,,0,0,x,,,,,,1035996,16,1
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Bruno Guimarães,16/11/1997,BrunoGuimarães1997,Midfielder,,,Newcastle,1060,115,727,675,,1,5,x,,,,,,866469,12,2
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Casemiro,23/02/1992,Casemiro1992,Midfielder,,,Manchester United,1087,90,735,61,,1,5,x,,,,,,122951,12,1
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Joelinton,14/08/1996,Joelinton1996,Midfielder,,,Newcastle,812,132,708,70,,2,10,x,,,,,,560128,10,2
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Lucas Paquetá,27/08/1997,LucasPaquetá1997,Midfielder,,,West Ham,1126,139,704,725,,2,10,x,,,,,,839981,14,2
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Raphael Veiga,19/06/1995,RaphaelVeiga1995,Midfielder,,,Palmeiras,818,48,773,655,,0,0,x,,,,,,840020,11,2
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Malcom,26/02/1997,Malcom1997,Forward,,,Zenit,619,65,803,73,,1,5,x,,,,,,551772,7,2
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Pedro,20/06/1997,Pedro1997,Forward,,,Flamengo,945,44,716,66,,0,0,x,,,,,,840219,14,2
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Richarlison,10/05/1997,Richarlison1997,Forward,,,Tottenham,269,140,676,65,,2,10,x,,,,,,840217,8,2
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Rodrygo,09/01/2001,Rodrygo2001,Forward,,,Real Madrid,1193,82,728,75,,2,10,x,,,,,,910536,16,1
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Rony,11/05/1995,Rony1995,Forward,,,Palmeiras,852,34,684,65,,0,0,x,,,,,,835260,12,2
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Vinícius Júnior,12/07/2000,ViníciusJúnior2000,Forward,,,Real Madrid,1065,179,724,69,,1,5,x,,,,,,868812,13,2
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Alisson,02/10/1992,Alisson1992,Goalkeeper,,,Liverpool,344,0,71,,,0,0,x,,,,,,243609,5,0
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Bento,10/06/1999,Bento1999,Goalkeeper,,,Athletico-PR,1170,0,695,,,0,0,x,x,,,,,1016104,13,0
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Lucas Perri,10/12/1997,LucasPerri1997,Goalkeeper,,,Botafogo,990,0,749,,,0,0,,,,x,,,871290,11,0
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Ederson,17/08/1993,Ederson1993,Goalkeeper,,,Manchester City,315,180,708,675,,2,10,x,,,,,,254491,4,2
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Danilo,15/07/1991,Danilo1991,Full-back,Centre-back,,Juventus,250,0,67,,,2,10,x,,,,,,1064039,9,0
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Vanderson,21/06/2001,Vanderson2001,Full-back,,,Monaco,245,5,74,,,0,0,x,,,,,,1090694,6,1
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Caio Henrique,31/07/1997,CaioHenrique1997,Full-back,,,Monaco,269,19,697,66,,0,0,x,,,,,,845170,8,1
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Renan Lodi,08/04/1998,RenanLodi1998,Full-back,,,Olympique de Marselha,390,161,715,69,,2,10,x,,,,,,851150,5,2
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Éder Militão,18/01/1998,ÉderMilitão1998,Centre-back,Full-back,,Real Madrid,1175,0,725,,,1,10,x,,,,,,822519,14,0
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Éder Militão,18/01/1998,ÉderMilitão1998,Centre-back,Full-back,,Real Madrid,1305,180,711,715,,2,10,x,,,,,,822519,15,2
5/10/2024,01/06/2024,MEX x BRA (friendly) / EUA x BRA (friendly) / BRA x CRC / PAR x BRA / BRA x COL / URU x BRA,6,continental tournament,Brazil,Dorival Júnior,Éder Militão,18/01/1998,ÉderMilitão1998,Centre-back,Full-back,,Real Madrid,209,90,697,70,,5,83,x,,,,,,822519,7,1
8/23/2024,01/09/2024,BRA x EQU / PAR x BRA,2,world cup qualifiers,Brazil,Dorival Júnior,Éder Militão,18/01/1998,ÉderMilitão1998,Centre-back,Full-back,,Real Madrid,180,356,725,72,,0,0,x,x,,,,,822519,2,4
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,André,16/07/2001,André2001,Midfielder,,,Fluminense,810,0,717,,,0,0,x,,,,,,1035996,9,0
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Bruno Guimarães,16/11/1997,BrunoGuimarães1997,Midfielder,,,Newcastle,85,156,67,755,,2,10,x,,,,,,866469,5,2
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Casemiro,23/02/1992,Casemiro1992,Midfielder,,,Manchester United,316,180,734,735,,2,10,x,,,,,,122951,5,2
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Joelinton,14/08/1996,Joelinton1996,Midfielder,,,Newcastle,90,24,70,63,,0,0,x,,,,,,560128,4,2
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Raphael Veiga,19/06/1995,RaphaelVeiga1995,Midfielder,,,Palmeiras,946,1,724,,,0,0,x,,,,,,840020,11,1
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Antony,24/02/2000,Antony2000,Forward,,,Manchester United,329,0,722,,,0,0,x,,x,,,,958380,6,0
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Gabriel Jesus,03/04/1997,GabrielJesus1997,Forward,,,Arsenal,221,34,675,655,,0,0,,,,x,,,794839,4,2
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Gabriel Martinelli,18/06/2001,GabrielMartinelli2001,Forward,,,Arsenal,326,5,69,,,0,0,x,,,,,,922573,6,1
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Matheus Cunha,27/05/1999,MatheusCunha1999,Forward,Midfielder,,Wolverhampton,77,19,72,67,,0,0,x,,,,,,886363,6,1
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Neymar,05/02/1992,Neymar1992,Forward,Midfielder,,Al-Hilal,90,179,98,865,,2,10,x,,,,,,124712,1,2
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Richarlison,10/05/1997,Richarlison1997,Forward,,,Tottenham,135,135,69,64,,2,10,x,,,,,,840217,4,2
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Rodrygo,09/01/2001,Rodrygo2001,Forward,,,Real Madrid,296,179,694,82,,2,10,x,,,,,,910536,5,2
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Vinícius Júnior,12/07/2000,ViníciusJúnior2000,Forward,,,Real Madrid,364,0,724,,,0,0,x,x,,,,,868812,5,0
8/18/2023,01/09/2023,BRA x BOL / PER x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Raphinha,14/12/1996,Raphinha1996,Forward,,,Barcelona,178,175,672,805,,2,10,,,,x,,,831005,5,2
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Alisson,02/10/1992,Alisson1992,Goalkeeper,,,Liverpool,90,0,64,,,0,0,x,,,,,,243609,1,0
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Ederson,17/08/1993,Ederson1993,Goalkeeper,,,Manchester City,270,180,717,655,,2,10,x,,,,,,254491,3,2
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Lucas Perri,10/12/1997,LucasPerri1997,Goalkeeper,,,Botafogo,135,0,685,,,0,0,x,,,,,,871290,2,0
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Danilo,15/07/1991,Danilo1991,Full-back,Centre-back,,Juventus,0,0,,,,1,5,x,,,,,,1064039,0,0
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Vanderson,21/06/2001,Vanderson2001,Full-back,,,Monaco,156,0,70,,,0,0,x,x,,,,,1090694,2,0
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Yan Couto,03/06/2002,YanCouto2002,Full-back,,,Girona,180,121,715,66,,1,5,,,,x,,,1002813,2,2
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Caio Henrique,31/07/1997,CaioHenrique1997,Full-back,,,Monaco,172,0,76,,,0,0,x,x,,,,,845170,2,0
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Guilherme Arana,14/04/1997,GuilhermeArana1997,Full-back,,,Atlético-MG,180,107,745,67,,1,5,,,,x,,,1127439,2,2
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Renan Lodi,08/04/1998,RenanLodi1998,Full-back,,,Olympique de Marselha,170,0,70,,,0,0,x,x,,,,,851150,2,0
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Carlos Augusto,07/01/1999,CarlosAugusto1999,Full-back,,,Inter de Milão,116,73,68,65,,1,5,,,,x,,,929199,2,1
9/27/2024,01/10/2024,CHI x BRA / BRA x PER,2,world cup qualifiers,Brazil,Dorival Júnior,Éder Militão,18/01/1998,ÉderMilitão1998,Centre-back,,,Real Madrid,305,0,735,,,0,0,x,x,,,,,822519,4,0
11/1/2024,01/11/2024,VEN x BRA / BRA x URU,2,world cup qualifiers,Brazil,Dorival Júnior,Éder Militão,18/01/1998,ÉderMilitão1998,Centre-back,Full-back,,Real Madrid,270,0,687,,,0,0,x,x,,,,,822519,3,0
10/1/2025,01/10/2025,COR x BRA / JAP x BRA,2,friendly,Brazil,Carlo Ancelotti,Éder Militão,18/01/1998,ÉderMilitão1998,Centre-back,Full-back,,Real Madrid,315,90,735,76,,1,5,x,,,,,,822519,4,1
11/3/2025,01/11/2025,SEN x BRA / TUN x BRA,2,friendly,Brazil,Carlo Ancelotti,Éder Militão,18/01/1998,ÉderMilitão1998,Centre-back,Full-back,,Real Madrid,360,150,77,71,,2,10,x,,,,,,822519,4,2
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,André,16/07/2001,André2001,Midfielder,,,Fluminense,180,11,685,63,,0,0,x,,,,,,1035996,2,1
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Casemiro,23/02/1992,Casemiro1992,Midfielder,,,Manchester United,244,169,75,685,,2,10,x,,,,,,122951,3,2
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Bruno Guimarães,16/11/1997,BrunoGuimarães1997,Midfielder,,,Newcastle,180,163,66,68,,2,10,x,,,,,,866469,2,2
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Gerson,20/05/1997,Gerson1997,Midfielder,,,Flamengo,263,11,687,67,,0,0,x,,,,,,611876,3,1
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Raphael Veiga,19/06/1995,RaphaelVeiga1995,Midfielder,,,Palmeiras,121,12,72,65,,0,0,x,,,,,,840020,2,1
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Neymar,05/02/1992,Neymar1992,Forward,Midfielder,,Al-Hilal,206,135,727,74,,2,10,x,,,,,,124712,3,2
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Rodrygo,09/01/2001,Rodrygo2001,Forward,Midfielder,,Real Madrid,177,180,68,70,,2,10,x,,,,,,910536,2,2
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Vinícius Júnior,12/07/2000,ViníciusJúnior2000,Forward,,,Real Madrid,0,163,,66,,2,10,x,,,,,,868812,0,2
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Gabriel Jesus,03/04/1997,GabrielJesus1997,Forward,,,Arsenal,93,121,67,69,,1,5,x,,,,,,794839,2,2
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Richarlison,10/05/1997,Richarlison1997,Forward,,,Tottenham,10,104,86,66,,1,5,x,,,,,,840217,1,2
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Raphinha,14/12/1996,Raphinha1996,Forward,,,Barcelona,112,0,757,,,0,0,x,x,,,,,831005,3,0
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,David Neres,03/03/1997,DavidNeres1997,Forward,,,Benfica,34,17,655,65,,0,0,,,,x,,,850993,2,1
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Matheus Cunha,27/05/1999,MatheusCunha1999,Forward,Midfielder,,Wolverhampton,132,23,68,65,,0,0,x,,,,,,886363,2,2
11/6/2023,01/11/2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Alisson,02/10/1992,Alisson1992,Goalkeeper,,,Liverpool,270,180,727,745,,2,10,x,,,,,,243609,3,2
11/6/2023,01/11/2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Ederson,17/08/1993,Ederson1993,Goalkeeper,,,Manchester City,270,0,70,,,0,0,x,x,,,,,254491,3,0
11/6/2023,01/11/2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Bento,10/06/1999,Bento1999,Goalkeeper,,,Athletico-PR,540,0,665,,,0,0,,,,x,,,1016104,6,0
11/6/2023,01/11/2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Lucas Perri,10/12/1997,LucasPerri1997,Goalkeeper,,,Botafogo,450,0,634,,,0,0,x,,,,,,871290,5,0
11/6/2023,01/11/2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Emerson Royal,14/01/1999,EmersonRoyal1999,Full-back,,,Tottenham,124,180,70,705,,2,10,x,,,,,,856123,3,2
11/6/2023,01/11/2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Carlos Augusto,07/01/1999,CarlosAugusto1999,Full-back,,,Inter de Milão,156,90,672,63,,1,5,x,,,,,,929199,4,1
11/6/2023,01/11/2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Renan Lodi,08/04/1998,RenanLodi1998,Full-back,,,Olympique de Marselha,270,81,71,61,,1,5,x,,,,,,851150,4,1
3/11/2024,01/03/2024,ING x BRA / ESP x BRA,2,friendly,Brazil,Dorival Júnior,Fabrício Bruno,12/02/1996,FabrícioBruno1996,Centre-back,,,Flamengo,1129,180,722,67,,2,10,,,,x,,,840220,14,2
8/23/2024,01/09/2024,BRA x EQU / PAR x BRA,2,world cup qualifiers,Brazil,Dorival Júnior,Fabrício Bruno,12/02/1996,FabrícioBruno1996,Centre-back,,,Flamengo,855,0,704,,,0,0,,,,x,,,840220,10,0
9/27/2024,01/10/2024,CHI x BRA / BRA x PER,2,world cup qualifiers,Brazil,Dorival Júnior,Fabrício Bruno,12/02/1996,FabrícioBruno1996,Centre-back,,,Flamengo,353,0,71,,,0,0,,,,x,,,840220,4,0
8/25/2025,01/09/2025,BRA x CHI / BOL x BRA,2,world cup qualifiers,Brazil,Carlo Ancelotti,Fabrício Bruno,12/02/1996,FabrícioBruno1996,Centre-back,,,Cruzeiro,1080,90,739,66,,1,5,x,,,,,,840220,14,1
11/6/2023,01/11/2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,André,16/07/2001,André2001,Midfielder,,,Fluminense,480,180,72,715,,2,10,x,,,,,,1035996,5,2
11/6/2023,01/11/2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Bruno Guimarães,16/11/1997,BrunoGuimarães1997,Midfielder,,,Newcastle,365,168,712,70,,2,10,x,,,,,,866469,5,2
11/6/2023,01/11/2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Douglas Luiz,09/05/1998,DouglasLuiz1998,Midfielder,,,Aston Villa,334,20,765,655,,0,0,x,,,,,,867887,4,2
11/6/2023,01/11/2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Joelinton,14/08/1996,Joelinton1996,Midfielder,,,Newcastle,415,9,702,58,,0,0,x,,,,,,560128,5,1
11/6/2023,01/11/2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Raphael Veiga,19/06/1995,RaphaelVeiga1995,Midfielder,,,Palmeiras,479,12,738,68,,0,0,x,,,,,,840020,6,1
11/6/2023,01/11/2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Rodrygo,09/01/2001,Rodrygo2001,Midfielder,Forward,,Real Madrid,232,159,668,67,,2,10,x,,,,,,910536,4,2
11/6/2023,01/11/2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Endrick,21/07/2006,Endrick2006,Forward,,,Palmeiras,388,26,736,655,,0,0,x,,,,,,1174937,5,2
